ques no.,question,topic name,answer
1,"What has keys but cannot open locks, has space but no room, and allows you to enter but you can never walk inside?",Riddle,keyboard
2,"What will be printed by this Python snippet? x = [1, 2, 3, 4, 5]; print(x[::-2])",Coding,"[5, 3, 1]"
3,"A train 180 meters long is traveling at a uniform speed of 54 km/h. How many seconds will it take to completely cross a stationary electric pole?",Aptitude,12
4,"Pointing to a photograph of a boy, Suresh says, 'He is the only son of the only son of my mother.' How is Suresh related to that boy?",Reasoning,father
5,"If you multiply all the numbers on the telephone keypad (0 to 9), what is the final product?",Math,0
6,"What is the output of the following C expression? int a = 5; printf('%d', a++ + ++a);",Coding,12
7,"A clock shows 3:30. What is the angle in degrees between the hour hand and the minute hand?",Aptitude,75
8,"I speak without a mouth and hear without ears. I have no body, but I come alive with wind. What am I?",Riddle,echo
9,"Find the missing number in the sequence: 2, 6, 12, 20, 30, 42, ?",Reasoning,56
10,"What will this JavaScript code output to console? console.log(1 + '2' + 3 - 1);",Coding,122
11,"A can finish a work in 12 days and B can finish the same work in 24 days. If they work together, how many days will they take to complete the work?",Aptitude,8
12,"A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How many cents does the ball cost?",Math,5
13,"If January 1, 2024 was a Monday, what day of the week was January 1, 2025? (2024 is a leap year with 366 days)",Reasoning,wednesday
14,"What is the value of (16 >> 2) ^ 5 in decimal?",Coding,1
15,"The more of this you take, the more you leave behind. What are they?",Riddle,footsteps
16,"The price of a shirt is first increased by 20% and then decreased by 20%. What is the net percentage change in the price? (e.g. 4% decrease)",Aptitude,4% decrease
17,"In Python, what does bool([]) == bool([0]) evaluate to? (True or False)",Coding,False
18,"Five friends P, Q, R, S, T sit in a line facing North. S is between T and Q. Q is to the immediate left of R. P is to the immediate left of T. Who is sitting in the middle?",Reasoning,S
19,"What is the remainder when 2^50 is divided by 7?",Math,4
20,"Forward I am heavy, but backward I am not. What am I?",Riddle,ton
21,"Two cars start from points A and B towards each other, separated by 300 km. Car A travels at 60 km/h and Car B travels at 40 km/h. After how many hours will they meet?",Aptitude,3
22,"What is the output of this SQL query logic? SELECT COUNT(*) FROM (SELECT NULL UNION ALL SELECT NULL UNION SELECT NULL);",Coding,1
23,"If 'WATER' is coded as 'YCVGT', what is the code for 'FIRE'?",Reasoning,HKTG
24,"How many trailing zeros are at the end of 50! (50 factorial)?",Math,12
25,"What building has the most stories in the entire world?",Riddle,library
26,"What does this Python recursive function return for f(5)? def f(n): return 1 if n <= 1 else n + f(n - 2)",Coding,9
27,"In a class of 60 students, 40 like Cricket, 30 like Football, and 15 like both. How many students like neither sport?",Aptitude,5
28,"A person walks 10 meters North, turns right and walks 6 meters, then turns right and walks 10 meters. How many meters is the person from the starting point?",Reasoning,6
29,"Two standard 6-sided dice are rolled simultaneously. What is the probability of getting a sum of exactly 7? (Write as fraction e.g. 1/6)",Math,1/6
30,"I have branches, but no fruit, trunk or leaves. What am I?",Riddle,bank
31,"What is the time complexity of searching for an element in a balanced Binary Search Tree with N nodes in Big-O notation?",Coding,O(log n)
32,"A boat goes 15 km downstream in 1 hour and returns upstream the same 15 km in 3 hours. What is the speed of the stream in km/h?",Aptitude,5
33,"Statements: All cats are animals. All animals need water. Conclusion: Do all cats need water? (Yes or No)",Reasoning,Yes
34,"Find the next prime number after 37.",Math,41
35,"What can travel around the world while staying in a single corner?",Riddle,stamp
36,"In Python 3, what does 3 * 'ab' + 'c' evaluate to?",Coding,abababc
37,"Pipe A fills a tank in 6 hours, while Pipe B empties it in 12 hours. If both pipes are opened together, how many hours will it take to fill the tank?",Aptitude,12
38,"What comes next in the letter series? B, D, G, K, P, ?",Reasoning,V
39,"In a party of 8 people, everyone shakes hands with everyone else exactly once. How many total handshakes occur?",Math,28
40,"What gets wetter and wetter the more it dries?",Riddle,towel
41,"What is the decimal equivalent of the 8-bit two's complement binary number 11111100?",Coding,-4
42,"The average of 5 consecutive odd numbers is 27. What is the largest of these 5 numbers?",Aptitude,31
43,"Doctor is to Hospital as Teacher is to _______?",Reasoning,school
44,"If x + 1/x = 4, what is the value of x^2 + 1/x^2?",Math,14
45,"What has a thumb and four fingers, but is not alive?",Riddle,glove
46,"What is the value of 7 // 2 versus 7 % 2 in Python? (Write as '3, 1')",Coding,"3, 1"
47,"By selling an article for $300, a merchant makes a 25% profit on cost. What was the original cost price?",Aptitude,240
48,"In a certain code, 'ROAD' is written as 'URDG'. How is 'SWAN' written in that code?",Reasoning,VZDQ
49,"The perimeter of a square is 36 cm. What is its area in square cm?",Math,81
50,"What belongs to you, but other people use it much more than you do?",Riddle,name
51,"What data structure operates strictly on a First-In, First-Out (FIFO) basis?",Coding,queue
52,"The sum of ages of father and son is 50. Five years ago, father was 7 times as old as his son. What is the current age of the son?",Aptitude,10
53,"A is B's sister. C is B's mother. D is C's father. E is D's mother. Then, how is A related to D?",Reasoning,granddaughter
54,"What is the sum of the interior angles of a regular hexagon in degrees?",Math,720
55,"I have an eye, but cannot see. I am strong enough to hold things together, but thin enough to break. What am I?",Riddle,needle
56,"What is the worst-case time complexity of QuickSort in Big-O notation?",Coding,O(n^2)
57,"If A:B = 2:3 and B:C = 4:5, find the ratio A:C. (Write as x:y)",Aptitude,8:15
58,"Which one does NOT belong to the group? Iron, Copper, Mercury, Silver, Aluminum",Reasoning,mercury
59,"What is 25^2 - 24^2?",Math,49
60,"If you drop a yellow hat in the Red Sea, what does it become?",Riddle,wet
